 Region,CultureGroup,MacroPolity,PolID,Predecessor,Successor,Contested.1yr,Reign.Number.predecessor,Start.reign.predecessor,End.reign.Transition,Overturn,Assassination.Predecessor,Intra.elite,Military.revolt,Popular.uprising,Separatist.rebellion,External.invasion,External.interference,Conflict.name,Description,References,Zotero.URL
Upper Egypt,Pharaonic_Egypt,Early Dynastic Egypt,EgDyn1*,Nynetjer,Weneg,U*,1,U*,U*,U*,U*,U*,U*,U*,U*,A,U*,,"Not clear what relationship Nynetjer had to his successor Weneg, who appears in Shaw's (2000) chronology but not in Clayton's king-list (1994, 26). Clayton (1994, 27) refers to a military campaign in Year 9 of his reign that involved the 'hacking up of the city of Shem-Re' and the 'House-of-the-North'. Might this refer to retaliation by Nynetjer against separatist rebellions in the north?","(Clayton 1994, 26-27) Clayton, Peter A. 1994. Chronicle of the Pharaohs: The Reign-by-Reign Record of the Rulers and Dynasties of Ancient Egypt. London: Thames and Hudson. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/N9DP44W9 $ (Bard 2000, 79) Bard, Kathryn. 2000. “The Emergence of the Egyptian State (3200-2686 BC).” In The Oxford History of Ancient Egypt, edited by Ian Shaw, 61–88. Oxford: Oxford University Press. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/V4NK84S7/q/bard $ (Shaw 2000, 482) Shaw, Ian. 2000. “Chronology.” In The Oxford History of Ancient Egypt, edited by Ian Shaw, 480–89. Oxford: Oxford University Press. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/48FRNB9P.",
Upper Egypt,Pharaonic_Egypt,Early Dynastic Egypt,EgDyn1*,Weneg,Sened,U*,1,U*,U*,U*,U*,U*,U*,U*,U*,A,U*,,"Weneg appears in Shaw's (2000) chronology but not in Clayton's (1994, 26) king list. It appears that we know very little about this ruler.","(Clayton 1994, 26) Clayton, Peter A. 1994. Chronicle of the Pharaohs: The Reign-by-Reign Record of the Rulers and Dynasties of Ancient Egypt. London: Thames and Hudson. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/N9DP44W9 $ (Shaw 2000, 482) Shaw, Ian. 2000. “Chronology.” In The Oxford History of Ancient Egypt, edited by Ian Shaw, 480–89. Oxford: Oxford University Press. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/48FRNB9P.",
Upper Egypt,Pharaonic_Egypt,Early Dynastic Egypt,EgDyn1*,Sened,Peribsen,U*,1,U*,U*,U*,U*,U*,U*,U*,U*,A,U*,,"Sened appears in Shaw's (2000) chronology but not in Clayton's (1994, 26) king list. It appears that we know very little about this ruler.","(Clayton 1994, 26) Clayton, Peter A. 1994. Chronicle of the Pharaohs: The Reign-by-Reign Record of the Rulers and Dynasties of Ancient Egypt. London: Thames and Hudson. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/N9DP44W9 $ (Shaw 2000, 482) Shaw, Ian. 2000. “Chronology.” In The Oxford History of Ancient Egypt, edited by Ian Shaw, 480–89. Oxford: Oxford University Press. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/48FRNB9P.",
Upper Egypt,Pharaonic_Egypt,Early Dynastic Egypt,EgDyn1*,Peribsen,Khasekhemwy,P*,1,U*,U*,U*,U*,U*,U*,U*,U*,A,U*,,"During his reign there was a period of 'internal unrest', with conflict between northern and southern Egypt (Clayton 1994, 27), but it is not clear who the parties to the conflict were. At some point, Sekhemib adopted the new name of Seth-Peribsen, possibly indicating that worshippers of the god Seth had won out over those of Horus (Clayton 1994, 27-28). Peribsen's relationship to his successor Khasekhemwy is unclear.","(Clayton 1994, 26-28) Clayton, Peter A. 1994. Chronicle of the Pharaohs: The Reign-by-Reign Record of the Rulers and Dynasties of Ancient Egypt. London: Thames and Hudson. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/N9DP44W9 $ (Shaw 2000, 482) Shaw, Ian. 2000. “Chronology.” In The Oxford History of Ancient Egypt, edited by Ian Shaw, 480–89. Oxford: Oxford University Press. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/48FRNB9P.",
Upper Egypt,Pharaonic_Egypt,Early Dynastic Egypt,EgDyn1*,Khasekhemwy,Nebka / Horus Sanakht,U*,1,U*,-2686,A,A,A,A,A,A,A,A,,"Khasekhemwy's successor Sanakhte is considered the founder of the Third Dynasty, but the power transition seems to have been smooth (Clayton 1994, 29).","(Clayton 1994, 26-28) Clayton, Peter A. 1994. Chronicle of the Pharaohs: The Reign-by-Reign Record of the Rulers and Dynasties of Ancient Egypt. London: Thames and Hudson. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/N9DP44W9 $ (Shaw 2000, 482) Shaw, Ian. 2000. “Chronology.” In The Oxford History of Ancient Egypt, edited by Ian Shaw, 480–89. Oxford: Oxford University Press. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/48FRNB9P.",
Upper Egypt,Islamic_Caliphates,Fatimid Caliphate,TnFatim,Al-Mahdi,Al-Qaim,A,1,910,934,A,A,A,A,A,A,A,A,,"Al-Mahdi was the first Fatimid Caliph. In 905 CE he was captured and imprisoned by the Aghlabids for proselytising Isma'ilism. After he was freed from his imprisonment by allies he fled from the middle east to preach his doctrine freely. Eventually he was able to supplant the Aghlabids as hegemons in Egypt, thus becoming imam and caliph of the new Fatimid Capliphate. He reigned until 934 CE, and was succeeded by his son Al-Qa'im.",John E Morby. 2018. Dynasties of the World. A Chronological and Genealogical Handbook. Oxford University Press. Oxford.,https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E
Upper Egypt,Islamic_Caliphates,Fatimid Caliphate,TnFatim,Al-Qaim,Al-Mansur,P,1,934,946,A,A,A,P,A,A,A,A,,Al-Qa'im was named heir to the Fatimid throne in 912 CE and succeeded his father Al-Mahdi as Caliph in 934 CE. In 944 CE an Ibadi Berber named Abu Yazid launched a revolt against the Caliph that lasted until 947 CE. In 946 CE Al-Qa'im died of natural causes and was succeeded by his son Al-Mansur. Coded Military.revolt: Present Abu Yazid Berber revolt of 944-947CE. Coded Military.revolt: Present Abu Yazid revolt upon succession.,John E Morby. 2018. Dynasties of the World. A Chronological and Genealogical Handbook. Oxford University Press. Oxford.,https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E
Upper Egypt,Islamic_Caliphates,Fatimid Caliphate,TnFatim,Al-Mansur,Al-Muizz,A,1,946,953,A,A,A,A,A,A,A,A,,"Al-Mansur inherited the Fatimid Caliphate from his father in 946 CE in the midst of a Berber revolt. Being an exceptional leader Al-Mansur successfully put the revolt down and was lauded by both Isma'ili (pro-Fatimid) and Sunni (anti-Fatimid) as an exemplary ruler. Al-Mansur suffered throughout his life with serious illness, in 953 he died leaving his empire to his son Al-Muizz.",John E Morby. 2018. Dynasties of the World. A Chronological and Genealogical Handbook. Oxford University Press. Oxford.,https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E
Upper Egypt,Islamic_Caliphates,Fatimid Caliphate,TnFatim,Al-Muizz,Al-Aziz,A,1,953,975,A,A,A,A,A,A,A,A,,Al-Muizz had inherited the Fatimid throne in 953 CE from his father Al-Mansur. An inventive and tolerant ruler he made positive connections with the Coptic Christians under his protection. Al-Muʻizz was succeeded by his brother Al-Aziz in 975 CE.,"John E Morby. 2018. Dynasties of the World. A Chronological and Genealogical Handbook. Oxford University Press. Oxford. $ (Wilson 2004: 122) Wilson, John Francis. 2004. Caesarea Philippi: Banias, the Lost City of Pan I.B.Tauris.",https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E
Upper Egypt,Islamic_Caliphates,Fatimid Caliphate,TnFatim,Al-Aziz,Al-Hakim,P,1,975,996,A,A,A,P,A,A,A,A,,"Regarded as one of the greatest Fatamid Caliphs, Al-Aziz inherited the caliphate from his brother in 975 CE. Despite his reputation as having a human and tolerant disposition the Caliphate saw extraordinary expansion in his lifetime, absorbing much of the Levant. Before his death in 996 CE, Al-Aziz enacted numerous military reforms which caused antagonism within the army erupting into revolt upon the succession of his son Al-Hakim. Coded Military.revolt: Present revolt of the Maghāriba ('Westerners') and Mashāriqa ('Easterners') upon Al-Aziz’s death.",John E Morby. 2018. Dynasties of the World. A Chronological and Genealogical Handbook. Oxford University Press. Oxford. $ (Cortese 2006: 120-121) Delia Cortese and Simonetta Calderini. 2006. Women And the Fatimids in the World of Islam. Edinburgh University Press. Edinburgh.,https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E
Upper Egypt,Islamic_Caliphates,Fatimid Caliphate,TnFatim,Al-Hakim,Al-Zahir,P,1,996,1021,P*,P*,P*,A,A,A,A,A,,"“al-Hakin was murdered by his owner sister, Sitt al-Mulk, not only because of the threats his unpredictable behavior posed to the dynasty, but also because of his plan to make a cousin his successor, a move that would have violated the fundamental Isam’ili principle of father-to-son succession.”// It is likely that Sitt al-Mulk arranged for the assassination of the Caliph in collaboration with General Ibn Daws, whom she called upon after the Caliph had accused them of being lovers: 'In the course of this meeting she concluded a bargain with this military man and promised to share power with him in exchange for his doing away with the caliph.'; It is likely that Sitt al-Mulk arranged for the assassination of the Caliph in collaboration with General Ibn Daws, whom she called upon after the Caliph had accused them of being lovers: 'In the course of this meeting she concluded a bargain with this military man and promised to share power with him in exchange for his doing away with the caliph.' // With the help of Ibn Daws, she manage to have her nephew installed as Caliph despite the fact that he was a child and therefore not entitled to be a Caliph. After her nephew had been installed as Caliph, she called upon Ibn Daws in the presence of her viziers and had him killed accused of having murdered her brother. She then established herself as regent by appointing ministers loyal to her.","Sanders, Paula. 2008. The Fatimid state, 969-1171. ed. Petry, Carl. The Cambridge History of Egypt Vol. 1. Cambridge: Cambridge University Press. 151-175 $ Mernissi, Fatima $ Mary Jo Lakeland. 2003. The forgotten queens of Islam. Oxford University Press. $ John E Morby. 2018. Dynasties of the World. A Chronological and Genealogical Handbook. Oxford University Press. Oxford. $ (Cortese 2006: 125) Delia Cortese and Simonetta Calderini. 2006. Women And the Fatimids in the World of Islam. Edinburgh University Press. Edinburgh.",https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E
Upper Egypt,Islamic_Caliphates,Fatimid Caliphate,TnFatim,Al-Zahir,Al-Mustansir,A,1,1021,1036,A,A,A,A,A,A,A,A,,"After the suspicious disappearance of Al-Hakim, Sitt al-Mulk, mother of Al-Zahir, took over as regent running the affairs of state until her death in 1023 CE. Under Al-Zahir the Fatimid state plunged into crisis with famine and plague running rampant. Al-Zahir died from plague in 1036 CE, and was succeeded by his seven-year-old son, Al-Mustansir.",John E Morby. 2018. Dynasties of the World. A Chronological and Genealogical Handbook. Oxford University Press. Oxford. $ (Daftary 2007: 193) Farhad Daftary. 2007. The Isma'ilis: Their History and Doctrines. Cambridge University Press. Cambridge.,https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E
Upper Egypt,Islamic_Caliphates,Fatimid Caliphate,TnFatim,Al-Mustansir,Al-Mustali,P,1,1036,1094,A,A,P,P,A,A,P,A,,"Al-Mustansir was only seven when he inherited the Fatimid Caliphate from his father Al-Zahir in 1036 CE. During his reign state affairs were administered by his mother and her chosen officials. Between 1065 CE and 1072 CE Turkish invaders made inroads into Egypt subjugating Cairo and treating Al-Mustansir with contempt. Al-Mustali, Al-Mustansir’s youngest son became Caliph after his death through the machinations of the vizier Badr al-Jamali. Nizar ibn al-Mustansir launched a revolt shortly afterward. Coded External.invasion: Present Invasion of Egypt by Turkic mercenaries. Coded Intra.elite: Present Al-Mustali was made Caliph by the vizier Badr al-Jamali rather than the chosen successor Nizar ibn al-Mustansir. Coded Military.revolt: Present Nizar ibn al-Mustansir revolted",John E Morby. 2018. Dynasties of the World. A Chronological and Genealogical Handbook. Oxford University Press. Oxford. $ (Daftary 2007: 241-42) Farhad Daftary. 2007. The Isma'ilis: Their History and Doctrines. Cambridge University Press. Cambridge.,https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E
Upper Egypt,Islamic_Caliphates,Fatimid Caliphate,TnFatim,Al-Mustali,Al-Amir,A,1,1094,1101,A,A,A,A,A,A,A,A,,"Al-Mustali inherited the caliphate in 1094 CE under the patronage of the vizier, Badr al-Jamali, and his son and successor al-Afdal Shahanshah. The usurped elder son Nizar ibn al-Mustansir launched a revolt in 1094 CE that was put down, but Nizar’s descendants continued to challenge the Fatimids for rule. Al-Mustali was subordinate as Caliph to the vizier Badr al-Jamali and al-Afdal Shahanshah. Al-Mustali died in 1102 CE, there were rumours that he had been poisoned, but little evidence of such. His son Al-Amir was proclaimed caliph shortly afterward.",John E Morby. 2018. Dynasties of the World. A Chronological and Genealogical Handbook. Oxford University Press. Oxford. $ (Daftary 2007: 244) Farhad Daftary. 2007. The Isma'ilis: Their History and Doctrines. Cambridge University Press. Cambridge.,https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E
